post_id,row_index,lat,lon,lat_header,lon_header,city,state,country,country_code,display_name
686,240,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
687,241,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
688,242,9.6000359,7.9999721,Project main location.lat__2,Project main location.lon__2,Kurmin Musa,Kaduna State,Nigeria,NG,"Kurmin Musa, Kachia, Kaduna State, Nigeria"
688,242,56.606273806935,7.9999721,Additional project location.lat__2,Project main location.lon__2,,,Denmark,DK,Denmark
689,243,50.112313451247,-116.71875,Project main location.lat,Project main location.lon,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
690,244,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
691,245,-1.2136405,36.87930533266,Project main location.lat__2,Project main location.lon__2,Nairobi,Nairobi County,Kenya,KE,"Nairobi, Nairobi County, Kenya"
691,245,2.9327809,36.87930533266,Additional project location.lat__2,Project main location.lon__2,Loiyangalani ward,Marsabit County,Kenya,KE,"Loiyangalani ward, Laisamis, Marsabit County, Kenya"
692,246,-1.2441317072363,36.886465419084,Project main location.lat__2,Project main location.lon__2,Nairobi,Nairobi County,Kenya,KE,"Babadogo ward, Kasarani, Nairobi, Nairobi County, 00623, Kenya"
692,246,50.112313451247,36.886465419084,Additional project location.lat__2,Project main location.lon__2,Chuhuiv Raion,Kharkiv Oblast,Ukraine,UA,"Старосалтівська селищна громада, Chuhuiv Raion, Kharkiv Oblast, Ukraine"
693,247,0.01403,37.074632,Project main location.lat__2,Project main location.lon__2,Laikipia East,Laikipia County,Kenya,KE,"Laikipia East, Laikipia County, 10400, Kenya"
693,247,50.112313451247,37.074632,Additional project location.lat__2,Project main location.lon__2,Chuhuiv Raion,Kharkiv Oblast,Ukraine,UA,"Вовчанська міська громада, Chuhuiv Raion, Kharkiv Oblast, Ukraine"
694,248,50.112313451247,-116.71875,Project main location.lat,Project main location.lon,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
695,249,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
696,250,8.5255122607268,-11.497192382812,Project main location.lat__2,Project main location.lon__2,,Kenema District,Sierra Leone,SL,"Kenema District, Eastern Province, Sierra Leone"
696,250,50.112313451247,-11.497192382812,Additional project location.lat__2,Project main location.lon__2,,,,,
697,251,-0.6804859096764,35.133926854469,Project main location.lat__2,Project main location.lon__2,Sotik,Bomet,Kenya,KE,"Sotik, Bomet, Kenya"
697,251,50.112313451247,35.133926854469,Additional project location.lat__2,Project main location.lon__2,,Kharkiv Oblast,Ukraine,UA,"Краснокутська селищна громада, Bohodukhiv Raion, Kharkiv Oblast, Ukraine"
698,252,-1.24339825,36.877873043473,Project main location.lat__2,Project main location.lon__2,Nairobi,Nairobi County,Kenya,KE,"Babadogo ward, Kasarani, Nairobi, Nairobi County, 00623, Kenya"
698,252,1.4419683,36.877873043473,Additional project location.lat__2,Project main location.lon__2,El-Barta ward,Samburu,Kenya,KE,"El-Barta ward, Samburu North, Samburu, Kenya"
699,253,-1.24339825,36.877873043473,Project main location.lat__2,Project main location.lon__2,Nairobi,Nairobi County,Kenya,KE,"Babadogo ward, Kasarani, Nairobi, Nairobi County, 00623, Kenya"
699,253,50.112313451247,36.877873043473,Additional project location.lat__2,Project main location.lon__2,Chuhuiv Raion,Kharkiv Oblast,Ukraine,UA,"Старосалтівська селищна громада, Chuhuiv Raion, Kharkiv Oblast, Ukraine"
700,254,-1.24339825,36.877873043473,Project main location.lat__2,Project main location.lon__2,Nairobi,Nairobi County,Kenya,KE,"Babadogo ward, Kasarani, Nairobi, Nairobi County, 00623, Kenya"
700,254,50.112313451247,36.877873043473,Additional project location.lat__2,Project main location.lon__2,Chuhuiv Raion,Kharkiv Oblast,Ukraine,UA,"Старосалтівська селищна громада, Chuhuiv Raion, Kharkiv Oblast, Ukraine"
701,255,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
702,256,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
702,256,-1.2481492324356,-116.71875,Additional project location.lat__2,Project main location.lon__2,,,,,
703,257,-3.6559638379378,39.863891601563,Project main location.lat,Project main location.lon,Mnarani ward,Kilifi County,Kenya,KE,"Mnarani ward, Kilifi North, Kilifi County, Kenya"
703,257,-4.0724942591674,39.863891601563,Additional project location.lat,Project main location.lon,,,Kenya,KE,Kenya
703,257,-1.2743089918452,39.863891601563,Additional project location 2.lat,Project main location.lon,Bura,Tana River County,Kenya,KE,"Bura, Tana River County, Kenya"
704,258,23.58110551685,90.845947265625,Project main location.lat__2,Project main location.lon__2,Daudkandi Upazila,Chattogram Division,Bangladesh,BD,"Daudkandi Upazila, Cumilla District, Chattogram Division, Bangladesh"
704,258,23.7644025,90.845947265625,Additional project location.lat__2,Project main location.lon__2,Bancharampur Upazila,Chattogram Division,Bangladesh,BD,"Bancharampur Upazila, Brahmanbaria District, Chattogram Division, Bangladesh"
705,259,1.4419683,38.4313975,Project main location.lat__2,Project main location.lon__2,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
705,259,50.112313451247,38.4313975,Additional project location.lat__2,Project main location.lon__2,Вейделевский муниципальный округ,Belgorod Oblast,Russia,RU,"Вейделевский муниципальный округ, Belgorod Oblast, Central Federal District, Russia"
706,260,1.4419683,38.4313975,Project main location.lat__2,Project main location.lon__2,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
706,260,50.112313451247,38.4313975,Additional project location.lat__2,Project main location.lon__2,Вейделевский муниципальный округ,Belgorod Oblast,Russia,RU,"Вейделевский муниципальный округ, Belgorod Oblast, Central Federal District, Russia"
707,261,1.4419683,38.4313975,Project main location.lat__2,Project main location.lon__2,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
707,261,50.112313451247,38.4313975,Additional project location.lat__2,Project main location.lon__2,Вейделевский муниципальный округ,Belgorod Oblast,Russia,RU,"Вейделевский муниципальный округ, Belgorod Oblast, Central Federal District, Russia"
708,262,14.73969074504,-17.463455200195,Project main location.lat__2,Project main location.lon__2,Dakar,Dakar Region,Senegal,SN,"Commune de Grand Yoff, commune d'arrondissement des Parcelles Assainies, Dakar, Dakar Region, 11500, Senegal"
708,262,14.7426165,-17.463455200195,Additional project location.lat__2,Project main location.lon__2,Dakar,Dakar Region,Senegal,SN,"Commune de Grand Yoff, commune d'arrondissement des Parcelles Assainies, Dakar, Dakar Region, 11500, Senegal"
709,263,1.4419683,38.4313975,Project main location.lat,Project main location.lon,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
709,263,8.0300284,38.4313975,Additional project location.lat,Project main location.lon,,Central Ethiopia Regional State,Ethiopia,ET,"East Gurage, Central Ethiopia Regional State, Ethiopia"
709,263,1.5333554,38.4313975,Additional project location 2.lat,Project main location.lon,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
710,264,1.4419683,38.4313975,Project main location.lat__2,Project main location.lon__2,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
710,264,8.0300284,38.4313975,Additional project location.lat__2,Project main location.lon__2,,Central Ethiopia Regional State,Ethiopia,ET,"East Gurage, Central Ethiopia Regional State, Ethiopia"
711,265,50.112313451247,-116.71875,Project main location.lat,Project main location.lon,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
711,265,0.6065988,-116.71875,Additional project location.lat,Project main location.lon,,,,,
712,266,17.0050454,81.7804732,Project main location.lat__2,Project main location.lon__2,Rajamahendravaram,Andhra Pradesh,India,IN,"Rajamahendravaram, Rajahmundry Urban, East Godavari, Andhra Pradesh, 533100, India"
712,266,16.9437385,81.7804732,Additional project location.lat__2,Project main location.lon__2,Rajahmundry Rural,Andhra Pradesh,India,IN,"Rajahmundry Rural, East Godavari, Andhra Pradesh, 533125, India"
713,267,-0.7261542,39.007068,Project main location.lat__2,Project main location.lon__2,Bura,Tana River County,Kenya,KE,"Bura, Tana River County, Kenya"
714,268,6.3391292914918,6.8348264694214,Project main location.lat,Project main location.lon,Anambra West,Anambra State,Nigeria,NG,"Anambra West, Anambra State, Nigeria"
714,268,50.112313451247,6.8348264694214,Additional project location.lat,Project main location.lon,Eckfeld,Rhineland-Palatinate,Germany,DE,"Eckfeld, Wittlich-Land, Landkreis Bernkastel-Wittlich, Rhineland-Palatinate, Germany"
715,269,50.112313451247,-116.71875,Project main location.lat__2,Project main location.lon__2,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
717,270,9.6000359,7.9999721,Project main location.lat,Project main location.lon,Kurmin Musa,Kaduna State,Nigeria,NG,"Kurmin Musa, Kachia, Kaduna State, Nigeria"
717,270,50.112313451247,7.9999721,Additional project location.lat,Project main location.lon,Rheingau-Taunus-Kreis,Hesse,Germany,DE,"Bad Schwalbach, Rheingau-Taunus-Kreis, Hesse, 65307, Germany"
718,271,9.6000359,7.9999721,Project main location.lat__2,Project main location.lon__2,Kurmin Musa,Kaduna State,Nigeria,NG,"Kurmin Musa, Kachia, Kaduna State, Nigeria"
718,271,50.112313451247,7.9999721,Additional project location.lat__2,Project main location.lon__2,Rheingau-Taunus-Kreis,Hesse,Germany,DE,"Bad Schwalbach, Rheingau-Taunus-Kreis, Hesse, 65307, Germany"
719,272,9.0358287,38.7524127,Project main location.lat__2,Project main location.lon__2,Addis Ababa,Addis Ababa,Ethiopia,ET,"Addis Ababa, Arada, Addis Ababa, 3578, Ethiopia"
719,272,50.112313451247,38.7524127,Additional project location.lat__2,Project main location.lon__2,Вейделевский муниципальный округ,Belgorod Oblast,Russia,RU,"Вейделевский муниципальный округ, Belgorod Oblast, Central Federal District, Russia"
720,273,3.1516964,101.6942371,Project main location.lat,Project main location.lon,,Kuala Lumpur,Malaysia,MY,"Kuala Lumpur, Malaysia"
720,273,50.112313451247,101.6942371,Additional project location.lat,Project main location.lon,Erdenebulgan,Hovsgel,Mongolia,MN,"Erdenebulgan, Hovsgel, Mongolia"
721,274,1.4423505,32.1857889,Project main location.lat__2,Project main location.lon__2,,Nakasongola,Uganda,UG,"Nakasongola, Central Region, Uganda"
721,274,-3.3638125,32.1857889,Additional project location.lat__2,Project main location.lon__2,,Geita,Tanzania,TZ,"Mbogwe, Geita, Lake Zone, Tanzania"
